Cleaned institution name,Institution ID,Homepage,Country (ISO2),Head institution
Vielca Ingenieros,694,https://www.vielca.com/en,ES,Vielca Ingenieros
Basque Research and Technology Alliance (BRTA),706,https://brta.euskadi.eus/,ES,Basque Research and Technology Alliance (BRTA)
Vizzuality,721,https://www.vizzuality.com/,ES,Vizzuality
University of Sevilla,752,https://www.us.es/eng,ES,University of Sevilla
Polytechnic University of Catalonia,806,https://www.upc.edu/es,ES,Polytechnic University of Catalonia
Eurecat,808,https://eurecat.org/,ES,Eurecat
New Water Culture Foundation (FNCA),809,https://fnca.eu/,ES,New Water Culture Foundation (FNCA)
Medidas De Adaptacion Costera Sostenible Sl,810,,ES,Medidas De Adaptacion Costera Sostenible Sl 
Royal Melbourne Institute of Technology (RMIT Europe),815,https://www.rmit.eu/,ES,RMIT Europe
Maritime Engineering Laboratory (LIM),830,https://lim.upc.edu/en/LIM,ES,Polytechnic University of Catalonia
WWF Spain,833,https://www.wwf.es/,ES,WWF Spain
La Palma Research Centre (LPRC),900,https://www.lapalmacentre.eu/,ES,La Palma Research Centre (LPRC)
Oceanic Platform of the Canary Islands (PLOCAN),903,https://plocan.eu/,ES,Oceanic Platform of the Canary Islands (PLOCAN)
Polytechnic University of Madrid ,905,https://www.upm.es/,ES,Polytechnic University of Madrid 
University of Barcelona,938,https://web.ub.edu/en/,ES,University of Barcelona
Polytechnic University of Valencia (UPV),954,https://www.upv.es/,ES,Polytechnic University of Valencia (UPV)
University Institute for Research in Water Engineering and the Environment,955,https://iiama.webs.upv.es/,ES,Polytechnic University of Valencia (UPV)
Research Institute for Coastal Zone Management,956,https://igic.webs.upv.es/,ES,Polytechnic University of Valencia (UPV)
Valencian Centre for Irrigation Studies (CVER),957,https://innovacion.upv.es/en/structures/cver/,ES,Polytechnic University of Valencia (UPV)
Orbital EOS,960,https://www.orbitaleos.com/,ES,Orbital EOS
Centre for Scientific Computing (CSC),57,https://csc.fi/,FI,Centre for Scientific Computing (CSC)
Baltic Marine Environment Protection Commission (HELCOM),60,https://helcom.fi/,FI,Baltic Marine Environment Protection Commission (HELCOM)
National Land Survey of Finland,65,https://www.maanmittauslaitos.fi/tutkimus,FI,National Land Survey of Finland
Finnish Environment Institute (SYKE),71,https://aquainfra.eu/partners/suomen-ymparistokeskus,FI,University of Helsinki
Baltic Marine Environment Protection Commission (HELCOM),83,https://helcom.fi/,FI,Baltic Marine Environment Protection Commission (HELCOM)
Integrated Carbon Observation System (ICOS),180,https://www.icos-cp.eu,FI,Integrated Carbon Observation System (ICOS)
Natural Resources Institute Finland (LUKE),262,https://www.luke.fi/en,FI,Natural Resources Institute Finland (LUKE)
Finnish Environment Institute (SYKE),432,https://aquainfra.eu/partners/suomen-ymparistokeskus,FI,University of Helsinki
Eniram Oy,517,http://www.eniram.fi/,FI,Wärtsilä
Wärtsilä ,518,https://www.wartsila.com/,FI,Wärtsilä 
Integrated Carbon Observation System (ICOS),521,https://www.icos-cp.eu,FI,Integrated Carbon Observation System (ICOS)
Finnish Meteorological Institute (FMI),528,https://en.ilmatieteenlaitos.fi/,FI,Finnish Meteorological Institute (FMI)
Integrated Carbon Observation System (ICOS),539,https://www.icos-cp.eu,FI,Integrated Carbon Observation System (ICOS)
"Aerosol, Clouds, and Trace Gases Research Infrastructure (ACTRIS)",540,https://www.actris.eu/,FI,"Aerosol, Clouds, and Trace Gases Research Infrastructure (ACTRIS)"
University of Helsinki,542,https://www.helsinki.fi/fi,FI,University of Helsinki
Baltic Marine Environment Protection Commission (HELCOM),602,https://helcom.fi/,FI,Baltic Marine Environment Protection Commission (HELCOM)
Åbo Akademi University (ÅAU),681,https://www.abo.fi/en/,FI,Åbo Akademi University (ÅAU)
University of Helsinki,686,https://www.helsinki.fi/fi,FI,University of Helsinki
Finnish Meteorological Institute (FMI),749,https://en.ilmatieteenlaitos.fi/,FI,Finnish Meteorological Institute (FMI)
Centre for Scientific Computing (CSC),764,https://csc.fi/,FI,Centre for Scientific Computing (CSC)
Research Council of Finland,966,https://www.aka.fi/en/,FI,Research Council of Finland
Corals for Conservation (C4C),243,https://www.corals4conservation.org/,FJ,Corals for Conservation (C4C)
University of the South Pacific,800,https://www.usp.ac.fj/,FJ,University of the South Pacific
Waste & Water,35,https://www.wastenwater.com/,FR,Waste & Water
University of Nice Sophia Antipolis (UNS),41,http://unice.fr/en,FR,University of Nice Sophia Antipolis (UNS)
National Center for Scientific Research (CNRS),88,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
French National Institute for Ocean Science (IFREMER),89,https://www.ifremer.fr/en,FR,French National Institute for Ocean Science (IFREMER)
University of Lille,90,https://www.univ-lille.fr/en/,FR,University of Lille
University of Caen,91,https://www.unicaen.fr/,FR,University of Caen
Sorbonne University,92,https://www.sorbonne-universite.fr/,FR,Sorbonne University
LIENSs Laboratory ,93,https://lienss.univ-larochelle.fr/,FR,University of La Rochelle
University of Bordeaux,94,https://www.u-bordeaux.fr/,FR,University of Bordeaux
European Institute for Marine Studies (IUEM),95,https://www-iuem.univ-brest.fr/?lang=en,FR,University of Western Brittany (UBO)
National Research Institute for Sustainable Development of France (IRD),104,https://en.ird.fr/our-identity,FR,National Research Institute for Sustainable Development of France (IRD)
French National Institute for Ocean Science (IFREMER),107,https://www.ifremer.fr/en,FR,French National Institute for Ocean Science (IFREMER)
Mercator Ocean International (MOI),108,https://www.mercator-ocean.eu/,FR,Mercator Ocean International (MOI)
Pokapoka,110,https://www.pokapok.org/,FR,Pokapoka
Oceanscope ,111,https://www.ocean-scope.com/,FR,Oceanscope 
IEEE France,112,https://ieeefrance.org/,FR,IEEE
Eviden,157,https://eviden.com/contact-us/,FR,Eviden
Institut de physique du globe de Paris (IPGP),160,https://www.ipgp.fr/,FR,Paris Cité University
Joint European Research Infrastructure of Coastal Observatories Research Infrastructure (JERICO-RI) ,173,https://www.jerico-ri.eu,FR,Joint European Research Infrastructure of Coastal Observatories Research Infrastructure (JERICO-RI) 
French National Institute for Ocean Science (IFREMER),181,https://www.ifremer.fr/en,FR,French National Institute for Ocean Science (IFREMER)
Laboratory of Space Geophysical and Oceanographic Studies (LEGOS),201,https://www.legos.omp.eu/en/homepage/,FR,Observatoire Midi-Pyrénées (OMP)
"National Research Institute for Agriculture, Food and Environment of France (INRAE)",251,https://www.inrae.fr/en/about-us/organisation,FR,"National Research Institute for Agriculture, Food and Environment of France (INRAE)"
Nouvelle-Aquitaine Regional Chamber of Agriculture,270,https://nouvelle-aquitaine.chambres-agriculture.fr/,FR,Government of France
La Fédération Régionale d'Agriculture Biologique Nouvelle-Aquitain (FRAB),272,https://www.bionouvelleaquitaine.com/,FR,La Fédération Régionale d'Agriculture Biologique Nouvelle-Aquitain (FRAB)
Centre national d'études spatiales (CNES),291,https://cnes.fr/en,FR,Centre national d'études spatiales (CNES)
Research Infrastructure for coastal ocean observation (ILICO),292,https://www.ir-ilico.fr/?PagePrincipale&lang=en,FR,Research Infrastructure for coastal ocean observation (ILICO)
French National Institute for Ocean Science (IFREMER),293,https://www.ifremer.fr/en,FR,French National Institute for Ocean Science (IFREMER)
University of the Littoral Opal Coast,294,https://www.univ-littoral.fr/,FR,University of the Littoral Opal Coast
University of Montpellier,295,https://www.umontpellier.fr/,FR,University of Montpellier
University of Perpignan,296,https://www.univ-perp.fr/,FR,University of Perpignan
Aix-Marseille University,297,https://www.univ-amu.fr/en,FR,Aix-Marseille University
The French Coral Reef Initiative (IFRECOR),341,https://ifrecor.fr/,FR,The French Coral Reef Initiative (IFRECOR)
Dassault Systemes,350,https://www.3ds.com/,FR,Dassault Systemes
National Center for Scientific Research (CNRS),403,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
Observatoire de la Côte d’Azur (OCA),413,https://www.oca.eu/,FR,University of Côte d'Azur
University of Cote d'Azur (UCA),414,https://univ-cotedazur.fr/,FR,University of Cote d'Azur (UCA)
University of Grenoble Alps (UGA),415,https://www.univ-grenoble-alpes.fr/,FR,University of Grenoble Alps (UGA)
Paris Cité University,417,https://u-paris.fr/,FR,Paris Cité University
University of Strasbourg,419,https://www.unistra.fr/,FR,University of Strasbourg
Center for Insular Research and Environmental Observatory (CRIOBE),424,https://www.criobe.pf/en/home/,FR,Center for Insular Research and Environmental Observatory (CRIOBE)
NetAlgae,433,https://www.netalgae.eu/profile-agro-campus-ouest.php,FR,NetAlgae
National Research Institute for Sustainable Development of France (IRD),436,https://en.ird.fr/our-identity,FR,National Research Institute for Sustainable Development of France (IRD)
National Center for Scientific Research (CNRS),463,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
Collecte Localisation Satellites (CLS),477,https://www.cls.fr/,FR,The French Space Agency (CNES)
IMT Mines Albi-Carmaux,481,https://www.imt-mines-albi.fr/,FR,Institut Mines-Télécom (IMT)
Bureau of Geological and Mining Research (BRGM),508,https://www.brgm.fr/,FR,Bureau of Geological and Mining Research (BRGM)
National Center for Scientific Research (CNRS),524,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
French Alternative Energies and Atomic Energy Commission (CEA),543,https://www.cea.fr/english/Pages/Welcome.aspx,FR,French Alternative Energies and Atomic Energy Commission (CEA)
European Space Agency (ESA),547,https://www.esa.int,FR,European Space Agency (ESA)
Collecte Localisation Satellites (CLS),552,https://www.cls.fr/,FR,The French Space Agency (CNES)
Satellite Localization Collection (CLS),559,https://www.cls.fr/,FR,National Centre for Space Studies (CNES)
National Center for Scientific Research (CNRS),565,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
National Research Institute for Sustainable Development of France (IRD),566,https://en.ird.fr/our-identity,FR,National Research Institute for Sustainable Development of France (IRD)
European Marine Biological Resource Centre,568,https://www.embrc.eu/,FR,European Union
Euro-Argo ERIC,570,https://www.euro-argo.eu/,FR,European Union
Neovia Innovation,577,https://neovia-innovation.eu/en/home,FR,Neovia Innovation
Geomatys,581,https://www.geomatys.com/en/,FR,Geomatys
Pokapoka,582,https://www.pokapok.org/,FR,Pokapoka
University of Clermont Auvergne (UCA),583,https://www.uca.fr/,FR,University of Clermont Auvergne (UCA)
Centre for Agricultural Research for Developmen (CIRAD),596,https://www.cirad.fr/,FR,Centre for Agricultural Research for Developmen (CIRAD)
National Institute for Research in Digital Science and Technology (INRIA),600,https://www.inria.fr/,FR,National Institute for Research in Digital Science and Technology (INRIA)
Météo France,632,https://meteofrance.com/,FR,Météo France
"Centre for Documentation, Research and Experimentation on Accidental Water Pollution (CEDRE)",659,https://cedre.fr/,FR,"Centre for Documentation, Research and Experimentation on Accidental Water Pollution (CEDRE)"
Institut Mines-Télécom (IMT),664,https://www.imt.fr/,FR,Institut Mines-Télécom (IMT)
Bureau of Geological and Mining Research (BRGM),726,https://www.brgm.fr/,FR,Government of France
City of Nice,736,https://www.nicecotedazur.org/,FR,City of Nice 
Center for Insular Research and Environmental Observatory (CRIOBE),738,https://www.criobe.pf/en/home/,FR,Center for Insular Research and Environmental Observatory (CRIOBE)
USR 3278 Services and Research Unit at CRIOBE,739,https://www.criobe.pf/en/about-criobe/,FR,Center for Insular Research and Environmental Observatory (CRIOBE)
PSL University,740,https://psl.eu/,FR,PSL University
MIO (Mediterranean Institute of Oceanology),741,https://www.mio.osupytheas.fr/en/,FR,MIO (Mediterranean Institute of Oceanology)
LIENSs Institute for Environment and Society,742,https://lienss.univ-larochelle.fr/Institut-du-Littoral-et-de-l-Environnement-ILE,FR,University of La Rochelle
National Center for Scientific Research (CNRS),760,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
Mercator Ocean International (MOI),761,https://www.mercator-ocean.eu/,FR,Mercator Ocean International (MOI)
Nucleus for European Modelling of the Ocean (NEMO),769,https://www.nemo-ocean.eu/,FR,European Union
Copernicus Marine Service (CMEMS),781,https://marine.copernicus.eu/,FR,European Union
National Center for Scientific Research (CNRS),787,https://www.cnrs.fr/fr,FR,National Center for Scientific Research (CNRS)
National Research Institute for Sustainable Development of France (IRD),788,https://en.ird.fr/our-identity,FR,National Research Institute for Sustainable Development of France (IRD)
Naval Hydrographic and Oceanographic Service of France (SHOM),789,https://www.shom.fr/fr,FR,Naval Hydrographic and Oceanographic Service of France (SHOM)
"Centre for Studies and Expertise on Risks, the Environment, Mobility and Urban Planning (CEREMA)",790,https://www.cerema.fr/,FR,"Centre for Studies and Expertise on Risks, the Environment, Mobility and Urban Planning (CEREMA)"
City of Saint-Malo,797,https://www.stmalo-agglomeration.fr/,FR,City of Saint-Malo
ENTROPIE,799,https://umr-entropie.ird.nc/,FR,ENTROPIE
Space for Climate Observatory of France (SCO),848,https://www.spaceclimateobservatory.org/,FR,Space for Climate Observatory of France (SCO)
Satellite Localization Collection (CLS),849,https://www.cls.fr/,FR,CNES
Copernicus Marine Service (CMEMS),850,https://marine.copernicus.eu/,FR,European Union
Datlas Ocean,851,https://www.datlas.fr/,FR,Datlas Ocean
IMT Atlantique,852,https://www.imt-atlantique.fr/en,FR,Institut Mines-Télécom (IMT)
Aquitaine Observatory of Universe Sciences,856,https://oasu.fr/,FR,Aquitaine Observatory of Universe Sciences
University of the Littoral Opal Coast,857,https://www.univ-littoral.fr/,FR,University of the Littoral Opal Coast
University of Caen,858,https://www.unicaen.fr/,FR,University of Caen
European Institute for Marine Studies (IUEM),859,https://www-iuem.univ-brest.fr/?lang=en,FR,University of Western Brittany (UBO)
La Rochelle University,860,https://www.univ-larochelle.fr/,FR,La Rochelle University
University of Montpellier,861,https://www.umontpellier.fr/,FR,University of Montpellier
Aix-Marseille University,862,https://www.univ-amu.fr/en,FR,Aix-Marseille University
National Museum of Natural History,863,https://www.mnhn.fr/fr,FR,National Museum of Natural History of France
National Institute of Geographic and Forest Information (IGN),864,https://www.ign.fr/institut,FR,National Institute of Geographic and Forest Information (IGN)
La Rochelle University,865,https://www.univ-larochelle.fr/,FR,La Rochelle University
University of Toulouse,866,https://en.univ-toulouse.fr/,FR,University of Toulouse
Eurisy,885,https://www.eurisy.eu/,FR,Eurisy
ALSEAMAR,892,https://www.alseamar-alcen.com/,FR,ALSEAMAR
Greenov-Ites,898,https://greenov.green/,FR,Greenov-Ites
Mercator Ocean International (MOI),908,https://www.mercator-ocean.eu/,FR,Mercator Ocean International (MOI)
UN Environment World Conservation Monitoring Centre (WCMC),45,https://www.unep-wcmc.org/,GB,UN Environment World Conservation Monitoring Centre (WCMC)
Blue Lobster,55,https://bluelobster.co.uk/,GB,Blue Lobster IT Ltd
OSPAR Commission,84,https://www.ospar.org/,GB,OSPAR Commission
British Oceanographic Data Centre (BODC),117,https://www.bodc.ac.uk/,GB,National Oceanography Centre (NOC)
BMT,127,https://www.bmt.org/,GB,BMT
Natural England,132,https://www.gov.uk/government/organisations/natural-england,GB,Natural England
Essex & Suffolk Water,133,https://www.eswater.co.uk/,GB,Northumbrian Water Group
Our Rainwater,134,https://ourrainwater.com/,GB,Our Rainwater
Nesta,135,https://www.nesta.org.uk/,GB,Nesta
Castle Point Borough Council,136,https://www.castlepoint.gov.uk/,GB,Government of England
District of Rochford,138,https://www.rochford.gov.uk/,GB,District of Rochford
AmbioTEK CIC ,139,https://ambiotek.policysupport.org/,GB,AmbioTEK CIC 
Exo Engineering,140,https://www.exo-engineering.co.uk/,GB,Exo Engineering
University of Essex,141,https://www.essex.ac.uk/,GB,University of Essex
King's College London (KCL),142,https://www.kcl.ac.uk/,GB,King's College London (KCL)
UK Environment Agency,143,https://www.gov.uk/government/organisations/environment-agency,GB,UK Environment Agency
Essex Wildlife Trust,144,https://www.essexwt.org.uk/,GB,Essex Wildlife Trust
Anglian Water,145,https://www.anglianwater.co.uk/,GB,Anglian Water
Borough of Thurrock,146,https://www.thurrock.gov.uk/,GB,Borough of Thurrock
City of Southend-on-Sea,147,https://www.southend.gov.uk/,GB,City of Southend-on-Sea
Fugro,177,https://www.fugro.com/,GB,Fugro
National Oceanography Centre of UK,193,https://noc.ac.uk/,GB,National Oceanography Centre of UK
University of Edinburgh,221,https://www.ed.ac.uk/,GB,University of Edinburgh
European Centre for Medium-Range Weather Forecasts (ECMWF),374,https://www.ecmwf.int/,GB,European Centre for Medium-Range Weather Forecasts (ECMWF)
Earthwave,387,https://earthwave.co.uk/,GB,Earthwave
Lancaster University,388,https://www.lancaster.ac.uk/,GB,Lancaster University
UK Research and Innovation (UKRI),418,https://www.ukri.org/,GB,UK Research and Innovation (UKRI)
"Centre for Environment, Fisheries and Aquaculture Science (CEFAS)",425,https://www.cefas.co.uk/,GB,"Centre for Environment, Fisheries and Aquaculture Science (CEFAS)"
Scottish Association for Marine Science (SAMS),427,https://www.sams.ac.uk/,GB,Scottish Association for Marine Science (SAMS)
Natural England,443,https://www.gov.uk/government/organisations/natural-england,GB,Natural England
Blue Lobster,465,https://bluelobster.co.uk/,GB,Blue Lobster IT Ltd
F6S,488,https://www.f6s.com/,GB,F6S
Met Office of UK,603,https://www.metoffice.gov.uk/,GB,Met Office of UK
ARGANS,607,https://argans.co.uk/#gsc.tab=0,GB,ARGANS
Missing Salmon Alliance,641,https://www.missingsalmonalliance.org/,GB,Missing Salmon Alliance
UK Health Security Agency,665,https://www.gov.uk/government/organisations/uk-health-security-agency,GB,UK Health Security Agency
"The Secretary Of State For Environment, Food And Rural Affairs",687,https://www.gov.uk/government/ministers/secretary-of-state-for-environment-food-and-rural-affairs,GB,Government of England
University Of East Anglia ,688,https://www.uea.ac.uk/,GB,University Of East Anglia 
Institute of Estuarine and Coastal Studies (IECS),689,https://www.iecs.ltd/#our-services,GB,Institute of Estuarine and Coastal Studies (IECS)
Oxford Robotics Institute (ORI),690,https://ori.ox.ac.uk/,GB,University of Oxford
Imperial College London,707,https://www.imperial.ac.uk/,GB,Imperial College London
UN Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),718,https://www.unep-wcmc.org/,GB,United Nations
University of Strathclyde,724,https://www.strath.ac.uk/,GB,University of Strathclyde
University College London,728,https://www.ucl.ac.uk/,GB,University College London
Anglia Ruskin University (ARU),729,https://www.aru.ac.uk/,GB,Anglia Ruskin University (ARU)
Essex County Council,735,https://www.essex.gov.uk/,GB,Government of England
Carbon Disclosure Project (CDP),751,https://www.cdp.net/en,GB,Carbon Disclosure Project (CDP)
Met Office of UK,762,https://www.metoffice.gov.uk/,GB,Met Office of UK
Natural Environment Research Council (NERC),763,https://www.ukri.org/councils/nerc/,GB,Natural Environment Research Council (NERC)
Scottish Association for Marine Science,814,https://www.sams.ac.uk/,GB,Scottish Association for Marine Science
University of Birmingham,942,https://www.birmingham.ac.uk/,GB,University of Birmingham
University of Ghana,230,https://www.ug.edu.gh/,GH,University of Ghana
Institute of Environment and Sanitation Studies (IESS),658,https://iess.ug.edu.gh/,GH,University of Ghana
ASIAQ Greenland Survey,392,https://www.asiaq.gl/en/,GL,ASIAQ Greenland Survey
Clera.One,17,https://www.clera.one,GR,Clera.One
"Marine Innovation, Depollution & Services",26,https://minds-env.eu/,GR,Hellenic Centre for Marine Research
Hellenic Centre for Marine Research (HCMR),43,https://www.hcmr.gr/en/,GR,Hellenic Centre for Marine Research (HCMR)
Hellenic Agricultural Organization-Demeter (HAO-DEMETER),44,http://www.nagref.gr/,GR,Hellenic Agricultural Organization-Demeter (HAO-DEMETER)
Forth Institute of Computer Science,98,https://www.ics.forth.gr/,GR,Foundation for Research and Technology – Hellas (FORTH) 
Hellenic Centre for Marine Research (HCMR),99,https://www.hcmr.gr/en/,GR,Hellenic Centre for Marine Research (HCMR)
Aristotle University of Thessaloniki,208,https://www.auth.gr/en/homepage/,GR,Aristotle University of Thessaloniki
National and Kapodistrian University of Athens,222,https://en.uoa.gr/,GR,National and Kapodistrian University of Athens
Hellenic Centre for Marine Research (HCMR),248,https://www.hcmr.gr/en/,GR,Hellenic Centre for Marine Research (HCMR)
The International Centre for Research on the Environment and the Economy (ICRE8),254,https://www.icre8.eu/,GR,The International Centre for Research on the Environment and the Economy (ICRE8)
Costa Navarino TEMES,265,https://www.costanavarino.com/,GR,Costa Navarino TEMES
Capitan Vassilis & Carmen Konstantakopoulos Foundation (CVF),266,https://www.cvf.gr/,GR,Capitan Vassilis & Carmen Konstantakopoulos Foundation (CVF)
Messinia Development Agency,267,https://www.anmess.gr/,GR,Messinia Development Agency
Foundation for Research and Technology – Hellas (FORTH),275,https://crl.iacm.forth.gr/en/,GR,Foundation for Research and Technology – Hellas (FORTH)
Aristotle University of Thessaloniki,421,https://www.auth.gr/en/homepage/,GR,Aristotle University of Thessaloniki
Democritus University of Thrace (DUTH),456,https://duth.gr/en/home-english/,GR,Democritus University of Thrace (DUTH)
Aenaos Thalassa,472,https://www.aenaosthalassa.com/en/vision,GR,Aenaos Thalassa
Learnworlds Greece,474,https://www.learnworlds.com/about/,GR,Learnworlds
Foundation for Research and Technology – Hellas (FORTH),491,https://crl.iacm.forth.gr/en/,GR,Foundation for Research and Technology – Hellas (FORTH)
Hellenic Centre for Marine Research (HCMR),494,https://www.hcmr.gr/en/,GR,Hellenic Centre for Marine Research (HCMR)
Hellenic Survey of Geology and Mineral Exploration (HSGME),514,https://eagme.gr/,GR,Hellenic Survey of Geology and Mineral Exploration (HSGME)
National Infrastructures for Research and Technology (GRNET),529,https://grnet.gr/,GR,National Infrastructures for Research and Technology (GRNET)
University of the Aegean,557,http://www1.aegean.gr/international/,GR,University of the Aegean
Planetek Hellas (PKH),558,https://www.planetek.gr/,GR,Planetek Group
Harokopio University,601,https://www.hua.gr/,GR,Harokopio University
AVRAMAR ,608,https://avramar.eu/,GR,AVRAMAR 
Technical University of Crete,621,https://www.geoenv.tuc.gr/en/home,GR,Technical University of Crete
Hellenic Centre for Marine Research (HCMR),682,https://www.hcmr.gr/en/,GR,Hellenic Centre for Marine Research (HCMR)
National Technical University of Athens (NTUA),711,https://www.ntua.gr/en/,GR,National Technical University of Athens (NTUA)
"University of the Aegean, Lesvos",714,http://www1.aegean.gr/international/,GR,"University of the Aegean, Lesvos"
Geosystems Hellas (GSH),745,https://geosystems-hellas.gr/,GR,Geosystems Hellas (GSH)
Institute of Communication and Computer Systems (ICCS),750,https://www.iccs.gr/mission-and-vision/,GR,National Technical University of Athens (NTUA)
Web to Climate (WTOC),754,https://www.wtoc.eu/,GR,Web to Climate (WTOC)
Drakopoulos Law,756,https://drakopoulos-law.com/,GR,Drakopoulos Law
Democritus University of Thrace (DUTH),785,https://duth.gr/en/home-english/,GR,Democritus University of Thrace (DUTH)
Institute of Communication and Computer Systems (ICCS),874,https://www.iccs.gr/mission-and-vision/,GR,National Technical University of Athens (NTUA)
National Technical University of Athens (NTUA),878,https://www.ntua.gr/en/,GR,National Technical University of Athens (NTUA)
Ephorate of Antiquities of Cyclades,886,https://www.culture.gov.gr/en/ministry/SitePages/viewyphresia.aspx?iID=1704,GR,Ministry of Culture
Hellenic Republic Ministry of Culture and Sports,915,https://www.culture.gov.gr/,GR,Government of Greece
Geosystems Hellas (GSH),918,https://geosystems-hellas.gr/,GR,Geosystems Hellas (GSH)
Aristotle University of Thessaloniki,926,https://www.auth.gr/en/homepage/,GR,Aristotle University of Thessaloniki
Engineering Materials for Construction (EM4C),928,https://em4c.gr/en/,GR,Engineering Materials for Construction (EM4C)
NanoPhos,929,https://nanophos.com/en/,GR,NanoPhos
National Observatory of Athens,939,https://www.noa.gr/en/,GR,National Observatory of Athens
Bio-Mi,15,https://bio-mi.eu/,HR,Bio-Mi
Ruđer Bošković Institute (RBI),158,https://www.irb.hr/eng/,HR,Ruđer Bošković Institute (RBI)
Geological Survey of Croatia (HGI),511,http://www.hgi-cgs.hr/,HR,Geological Survey of Croatia (HGI)
Geonardo Environmental Technologies,255,https://geonardo.com/privacy-policy,HU,Geonardo Environmental Technologies
Fjordstrong,504,https://fjordstrong.com/,IE,Queen's University Belfast
Marine Institute (MI),575,https://www.marine.ie/,IE,Marine Institute (MI)
Bantry Marine Research Station Ltd (BMRS),609,https://www.bmrs.ie/,IE,Bantry Marine Research Station Ltd (BMRS)
University College Dublin,674,https://www.ucd.ie/,IE,National University of Ireland
Marine Institute (MI),901,https://www.marine.ie/,IE,Marine Institute (MI)
University of Limerick,904,https://www.ul.ie/,IE,University of Limerick
University College Cork,906,https://www.ucc.ie/,IE,National University of Ireland
"Kinneret Limnological Laboratory, Israel Oceanographic and Limnological Research",441,http://www.naf-iolr.org,IL,National Institute of Oceanography of Israel
Israel Oceanographic and Limnological Research Institute (IOLR) ,460,https://israelmaritime.org/?p=845,IL,Israel Oceanographic and Limnological Research Institute (IOLR)
Society for the Protection of Nature in Israel (SPNI),469,https://natureisrael.org/,IL,Society for the Protection of Nature in Israel (SPNI)
AGORA,475,https://www.agora.co.il,IL,AGORA
Interteam Content Service,476,https://interteam.co.il/,IL,Interteam Content Service
Totem Plus,590,https://www.totem-plus.com/,IL,Totem Plus
University of Haifa,629,https://www.haifa.ac.il/?lang=en,IL,University of Haifa
National Centre for Coastal Research of India (NCCR),182,https://www.nccr.gov.in,IN,National Centre for Coastal Research of India (NCCR)
Indian Institute of Science (IISC),204,https://iisc.ac.in/,IN,Indian Institute of Science (IISC)
Untamed Planet,699,https://untamedplanet.in/,IN,Untamed Planet
Icelandic Meteorological Office (IMO),150,https://en.vedur.is/,IS,Icelandic Meteorological Office (IMO)
Icelandic Meteorological Office (IMO),409,https://en.vedur.is/,IS,Icelandic Meteorological Office (IMO)
University of Iceland,730,https://www.hi.is/,IS,University of Iceland
Austurbru Municipality,737,https://austurbru.is/,IS,Government of Iceland
University of Iceland,842,https://www.hi.is/,IS,University of Iceland
ARCHA,14,https://www.archa.it/en/who-we-are/,IT,ARCHA
National Research Council of Italy (CNR),19,https://www.cnr.it/en,IT,National Research Council of Italy (CNR)
Grein SpA,23,https://www.grein.it/index-en.html,IT,Grein SpA
Infordata,24,https://www.infordata.net/,IT,Infordata
MOLD,27,https://mold.it,IT,MOLD
Polytechnic University of Marche (UNIVPM),39,https://www.univpm.it/Entra/Universita_Politecnica_delle_Marche_Home/L/1,IT,Polytechnic University of Marche (UNIVPM)
Zoologic Station Anton Dohrn (SZN),40,http://www.szn.it/index.php/en/,IT,Zoologic Station Anton Dohrn (SZN)
EcoReach,46,http://www.ecoreach.it/,IT,EcoReach
Centre for Maritime Research and Experimentation of North Atlantic Treaty Organization (CMRE),51,https://www.cmre.nato.int/,IT,North Atlantic Treaty Organization (NATO)
COISPA Tecnologia & Ricerca,87,https://www.coispa.it/en/homepage/,IT,COISPA Foundation
National Research Council of Italy (CNR),96,https://www.cnr.it/en,IT,National Research Council of Italy (CNR)
Trust-iT Services,97,https://trust-itservices.com/,IT,Trust-iT Services
National Institute of Oceanography and Applied Geophysics of Italy (OGS),103,https://www.ogs.it/en,IT,National Institute of Oceanography and Applied Geophysics of Italy (OGS)
National Institute of Geophysics and Volcanology (INGV),121,https://www.ingv.it/,IT,National Institute of Geophysics and Volcanology (INGV)
The European Multidisciplinary Seafloor and Water Column Observatory,125,https://emso.eu/,IT,European Research Infrastructure Consortium
ETT Solutions,126,https://ettsolutions.com/en/,IT,ETT Group
University Consortium (CINECA),152,https://www.cineca.it/,IT,University Consortium (CINECA)
E4 Analytics,161,https://www.e4company.com/ai-factory/,IT,E4 Analytics
ETT Solutions,175,https://ettsolutions.com/en/,IT,ETT Group
Euro-Mediterranean Center on Climate Change (CMCC),194,https://www.cmcc.it/,IT,Euro-Mediterranean Center on Climate Change (CMCC)
University of Calabria (UNICAL),197,https://www.unical.it/,IT,University of Calabria (UNICAL)
Euro-Mediterranean Center on Climate Change (CMCC),198,https://www.cmcc.it/,IT,Euro-Mediterranean Center on Climate Change (CMCC)
Institute of Marine Sciences (ISMAR),219,https://www.ricercamarina.cnr.it/en/ismar.php,IT,National Research Council of Italy (CNR)
