Cleaned institution name,Institution ID,Homepage,Country (ISO2),Head institution
National Satellite Ocean Application Center (NSOAS),38,http://www.nsoas.org.cn/eng/,CN,National Satellite Ocean Application Center (NSOAS)
Chinese Academy of Sciences (CAS),131,https://english.cas.cn/,CN,Chinese Academy of Sciences (CAS)
National Marine Environmental Forecasting Division (NMEFC),199,https://english.nmefc.cn/,CN,National Marine Environmental Forecasting Division (NMEFC)
CNOOC Deepwater Development Limited,366,https://www.cnoocltd.com/english/,CN,China National Offshore Oil Corporation
Ministry of Natural Resources,370,http://www.mnr.gov.cn/,CN,Government of China
Shandong Shipping Corporation (SDSC),382,https://en.sdshipping.cn/,CN,Shandong Shipping Corporation (SDSC)
Shandong Marine Group,383,https://en.sdmg.cn/,CN,Shandong Marine Group
Dalian Maritime University (DMU),385,https://english.dlmu.edu.cn/,CN,Dalian Maritime University (DMU)
Southern Marine Science and Engineering Guangdong Laboratory Zhuhai,594,https://www.sml-zhuhai.cn/,CN,Southern Marine Science and Engineering Guangdong Laboratory Zhuhai
Tencent,595,https://www.tencent.com/,CN,Tencent
Ocean University of China,615,http://eweb.ouc.edu.cn/main.htm,CN,Ocean University of China
China Ocean Affairs Administration,743,https://www.fmprc.gov.cn/eng/wjb/zzjg_663340/bianhaisi_eng_665278/,CN,Government of China
Zhejiang Lab,744,https://en.zhejianglab.com/,CN,Government of Zhejiang Province 
Tianjin University ,773,https://en.tju.edu.cn/,CN,Tianjin University 
Zhejiang University,839,https://www.zju.edu.cn/,CN,Zhejiang University
China National Fisheries Corporation (CNFC),840,https://www.qdkangjing.cn/en/advantages/1/,CN,China National Fisheries Corporation (CNFC)
Institute for Marine and Coastal Research (INVEMAR),78,https://www.invemar.org.co/,CO,Institute for Marine and Coastal Research (INVEMAR)
UNESCO-IOC Subcommission for the Caribbean and Adjacent Regions (IOCARIBE),238,https://iocaribe.ioc-unesco.org/en/TACR,CO,UNESCO-IOC Subcommission for the Caribbean and Adjacent Regions (IOCARIBE)
Corporation For Marine Science Excellence,314,https://cemarin.org/es/inicio/,CO,University Jorge Tadeo Lozano
National University of Colombia(UNAL),316,https://unal.edu.co/,CO,Ministry of Education
University of North,821,https://www.uninorte.edu.co/,CO,University of North
Learnworlds Cyprus,473,https://www.learnworlds.com/contact/,CY,Learnworlds
Cyprus Marine and Maritime Institute (CMMI),487,https://www.cmmi.blue/,CY,Cyprus Marine and Maritime Institute (CMMI)
The Cyprus Institute,537,https://www.cyi.ac.cy/,CY,The Cyprus Institute
Danaos Corporation,546,https://www.danaos.com/home/default.aspx,CY,Danaos Corporation
SignalGeneriX,880,https://www.signalgenerix.com/,CY,SignalGeneriX
Cyprus Marine and Maritime Institute (CMMI),882,https://www.cmmi.blue/,CY,Cyprus Marine and Maritime Institute (CMMI)
University of Cyprus,887,https://www.ucy.ac.cy/,CY,University of Cyprus
Cyprus Department of Antiquities,919,https://www.culture.gov.cy/dmculture/da/da.nsf/DMLindex_en/DMLindex_en?OpenDocument,CY,Government of Cyprus
ERATOSTHENES Centre of Excellence (ECoE),923,https://eratosthenes.org.cy/,CY,Cyprus University of Technology
University of Cyprus,925,https://www.ucy.ac.cy/,CY,University of Cyprus
Cyprus Marine and Maritime Institute (CMMI),963,https://www.cmmi.blue/,CY,Cyprus Marine and Maritime Institute (CMMI)
Czech National Research and Education Network (CESNET),523,https://www.cesnet.cz/en,CZ,Czech National Research and Education Network (CESNET)
Fresenius University of Applied Sciences,22,https://www.hs-fresenius.de/,DE,Carl Remigius Fresenius Education
52°North Spatial Information Research,53,https://52north.org/,DE,52°North Spatial Information Research
German Climate Computing Center (DKRZ),58,https://www.dkrz.de/de,DE,German Climate Computing Center (DKRZ)
Helmholtz-Zentrum Hereon,61,https://www.hereon.de/,DE,Helmholtz Association of German Research Centres
Bochum University of Applied Sciences,62,https://www.hochschule-bochum.de/,DE,Bochum University of Applied Sciences
Karlsruhe Institute of Technology (KIT),64,https://www.kit.edu/english/,DE,Karlsruhe Institute of Technology (KIT)
Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB),68,https://www.igb-berlin.de/en/about-us,DE,Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB)
Technical University Dresden (TUD),72,https://tu-dresden.de/,DE,Technical University Dresden (TUD)
European Molecular Biology Laboratory (EMBL),102,https://www.embl.org/,DE,European Molecular Biology Laboratory (EMBL)
Alfred-Wegener Institute (AWI),124,https://www.awi.de/en/,DE,Helmholtz Association of German Research Centres
"High Performance Computing Center, University of Stuttgart (USTUTT)",151,https://www.hlrs.de/,DE,University of Stuttgart
Technical University of Munich (TUM),153,https://www.tum.de/,DE,Technical University of Munich (TUM)
University of Munich (LMU),154,https://www.lmu.de/en/,DE,University of Munich (LMU)
Johannes Gutenberg University Mainz,159,https://www.uni-mainz.de/,DE,Johannes Gutenberg University Mainz
All-Atlantic Ocean Observing System (AtlantOS),174,https://atlantos-h2020.eu/index.html,DE,All-Atlantic Ocean Observing System (AtlantOS)
Helmholtz-Zentrum Hereon,179,https://www.hereon.de/,DE,Helmholtz Association of German Research Centres
The Alliance for Development Works,287,https://www.allianceofdevelopment.org/de/,DE,The Alliance for Development Works
Earth Observation and Mapping (EOMAP),298,https://eomap.com/,DE,Fugro
Hamburg Port Authority (HPA),368,https://www.hamburg-port-authority.de/,DE,Government of Germany
Fraunhofer Institute for Wind Energy Systems (IWES),378,https://www.iwes.fraunhofer.de/,DE,Fraunhofer Institute for Wind Energy Systems (IWES)
Siemens Gamesa Renewable Energy (SGRE),381,https://www.siemensgamesa.com/,DE,Siemens
Helmholtz Centre for Geosciences (GFZ),406,https://www.gfz.de/en/,DE,Helmholtz Association of German Research Centres
University of Hamburg,416,https://www.uni-hamburg.de/en.html,DE,University of Hamburg
Helmholtz Centre for Ocean Research Kiel (GEOMAR),458,https://www.geomar.de/,DE,Helmholtz Association of German Research Centres
Leibniz Institute for Baltic Sea Research Warnemünde (IOW),496,https://www.iow.de/en_index.html,DE,Leibniz Institute for Baltic Sea Research Warnemünde (IOW)
Research Centre Jülich,527,https://www.fz-juelich.de/,DE,Research Centre Jülich
Helmholtz Centre for Environmental Research (UFZ),536,https://www.ufz.de/,DE,Helmholtz Association of German Research Centres
Research Centre Jülich,538,https://www.fz-juelich.de/,DE,Research Centre Jülich
Karlsruhe Institute of Technology (KIT),544,https://www.kit.edu/english/,DE,Karlsruhe Institute of Technology (KIT)
Helmholtz Centre for Environmental Research (UFZ),545,https://www.ufz.de/,DE,Helmholtz Association of German Research Centres
European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT),549,http://www.eumetsat.int/,DE,EUMETSAT
Alfred-Wegener Institute (AWI),571,https://www.awi.de/en/,DE,Helmholtz Association of German Research Centres
Alfred-Wegener Institute (AWI),584,https://www.awi.de/en/,DE,Helmholtz Association of German Research Centres
German Research Centre for Artificial Intelligence (DFKI),599,https://www.dfki.de/web,DE,German Research Centre for Artificial Intelligence (DFKI)
Ascora,605,https://ascora.de/en/,DE,Ascora
Helmholtz Centre for Environmental Research (UFZ),625,https://www.ufz.de/,DE,Helmholtz Association of German Research Centres
Siemens Gamesa Renewable Energy (SGRE),637,https://www.siemensgamesa.com/,DE,Siemens
Alfred-Wegener Institute (AWI),679,https://www.awi.de/en/,DE,Helmholtz Association of German Research Centres
OHB Digital,747,https://www.ohb.de/,DE,OHB Digital
IN2,753,https://in-two.com/,DE,IN2
Alfred-Wegener Institute (AWI),791,https://www.awi.de/en/,DE,Helmholtz Association of German Research Centres
University of Munich (LMU),818,https://www.lmu.de/en/,DE,University of Munich (LMU)
"Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz",819,https://www.nlwkn.niedersachsen.de/startseite/,DE,"Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz"
Global Climate Forum,824,https://globalclimateforum.org/,DE,Global Climate Forum
Helmholtz-Zentrum Hereon,825,https://www.hereon.de/,DE,Helmholtz Association of German Research Centres
Helmholtz Centre for Ocean Research Kiel (GEOMAR),846,https://www.geomar.de/,DE,Helmholtz Association of German Research Centres
Federal Waterways Engineering and Research Institute (BAW),911,https://www.baw.de/,DE,Federal Waterways Engineering and Research Institute (BAW)
Smile Consult,912,https://www.smileconsult.de/,DE,Smile Consult
planGIS,913,https://www.plangis.de/,DE,planGIS
German Archaeological Institute (DAI),914,https://www.dainst.org/en/,DE,German Archaeological Institute (DAI)
Bavarian State Office for Monument Protection (BLFD),917,https://www.blfd.bayern.de/,DE,German Government
German Aerospace Centre (DLR),921,https://www.dlr.de/,DE,German Aerospace Centre (DLR)
Ulm University,930,https://www.uni-ulm.de/,DE,Ulm University
Helmholtz Centre for Geosciences (GFZ),936,https://www.gfz.de/en/,DE,Helmholtz Association of German Research Centres
Karlsruhe Institute of Technology (KIT),967,https://www.kit.edu/english/,DE,Karlsruhe Institute of Technology (KIT)
Aalborg University,54,https://www.en.aau.dk/,DK,Aalborg University
WateriTech,76,https://www.wateritech.com/,DK,WateriTech
WaterWebTools,77,https://www.wwt-platform.com/,DK,WateriTech
Danish Geodata Agency,355,https://eng.gst.dk/,DK,Danish Geodata Agency
Technical University Denmark (DTU),371,https://www.dtu.dk/,DK,Technical University Denmark (DTU)
Danish Hydraulic Institute (DHI),373,https://www.dhigroup.com/,DK,Danish Hydraulic Institute (DHI)
Enfor,379,https://enfor.dk/,DK,Danfoss
